startPoints.lat	startPoints.lon	endPoints.lat	endPoints.lon
47.654699	-122.371546	47.62584	-122.358027
47.615097	-122.341617	47.61712	-122.303969
47.650935	-122.355607	47.624566	-122.350832
47.597009	-122.326405	47.62505	-122.316759
47.625757	-122.337733	47.666154	-122.382851
47.622436	-122.31889	47.659721	-122.324054
47.649868	-122.351618	47.637081	-122.343049
47.61712	-122.303969	47.620192	-122.298002
47.669297	-122.373665	47.65342	-122.351272
47.665046	-122.374873	47.657724	-122.352884
47.609675	-122.329066	47.608993	-122.329448
47.614461	-122.334634	47.637731	-122.371221
47.640889	-122.284751	47.617875	-122.310141
47.621388	-122.314685	47.612925	-122.304497
47.579808	-122.334879	47.674979	-122.318434
47.625858	-122.341001	47.63055	-122.344188
47.65884	-122.342274	47.670748	-122.317862
47.667874	-122.369829	47.669308	-122.318909
47.637081	-122.343049	47.651824	-122.356328
47.623202	-122.334652	47.634601	-122.279551
47.619704	-122.329719	47.580975	-122.291117
47.62584	-122.358027	47.659981	-122.348651
47.66541	-122.382012	47.698831	-122.374125
47.619709	-122.339248	47.659407	-122.31318
47.645628	-122.323765	47.651037	-122.351308
47.624566	-122.350833	47.625448	-122.355072
47.617875	-122.310141	47.625531	-122.323585
47.639079	-122.366294	47.62408	-122.35934
47.604837	-122.316785	47.674674	-122.325452
47.625707	-122.358488	47.633505	-122.357917
47.659406	-122.31318	47.646873	-122.359367
47.632197	-122.356724	47.615254	-122.32248
47.688331	-122.307888	47.692269	-122.270044
47.65342	-122.351272	47.662742	-122.335169
47.698977	-122.377338	47.603206	-122.336423
47.619697	-122.337664	47.614973	-122.319471
47.643874	-122.372207	47.615939	-122.337992
47.603205	-122.336423	47.620817	-122.330697
47.614973	-122.319471	47.615618	-122.342344
47.625053	-122.31676	47.63516	-122.340439
47.615618	-122.342344	47.604106	-122.337604
47.674979	-122.318434	47.579804	-122.334713
47.639404	-122.324694	47.600876	-122.325298
47.670748	-122.317855	47.622044	-122.337659
47.684028	-122.348256	47.602362	-122.335652
47.579583	-122.307732	47.579583	-122.307571
47.620817	-122.330696	47.618069	-122.35567
47.624797	-122.311316	47.598274	-122.333145
47.664358	-122.303403	47.622568	-122.330444
47.684973	-122.38718	47.651902	-122.377526
47.595415	-122.309892	47.614771	-122.318133
47.665022	-122.34416	47.687667	-122.353495
47.627718	-122.281294	47.616497	-122.341912
47.687667	-122.353494	47.614648	-122.340693
47.614151	-122.335989	47.616018	-122.337043
